"Name (Last, First)",Notes & Questions,HLS Degree(s),Grad Date(s),Position / Role,Bio,Sources,Why Notable?,Why Controversial?,Date Done,Race,Race copy,HLS Yearbook 3L Photograph,Notes (on Photograph),Gender,Party,Country
"Weddle, Jenniffer",,J.D.,2000,"Law Firm,Public Interest Law / Nonprofit Legal Services",,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,American Indian,American Indian,,,Female,,USA
"Whiteley, Sivan",,J.D.,2002,Corporate / Business,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,White,White,,,Female,,USA
"Wiehl, Lis",,J.D.,1987,Arts / Media / Entertainment,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,White,White,,,Female,,USA
"Williams, Beth A.",,J.D.,2004,Government,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,White,White,,,Female,,USA
"Aaron, Cynthia",,J.D.,1984,Judiciary,,https://hls.harvard.edu/content/uploads/2015/03/c60_program_book1.pdf,,,,White,White,,,Female,,USA
"Armstrong, Charlotte P.",,J.D.,1953,Academia / Education,,https://hls.harvard.edu/content/uploads/2015/03/c60_program_book1.pdf,,,,White,White,,,Female,,USA
"Bell-Rose, Stephanie",,J.D.,1984,Public Interest Law / Nonprofit Legal Services,,https://hls.harvard.edu/content/uploads/2015/03/c60_program_book1.pdf,,,,Black,Black,,,Female,,USA
"Benshoof, Janet",,J.D.,1972,"Government,International",,https://hls.harvard.edu/content/uploads/2015/03/c60_program_book1.pdf,,,,White,White,,,Female,,USA
"Brody, Jenny",,J.D.,1981,Public Interest Law / Nonprofit Legal Services,,https://hls.harvard.edu/content/uploads/2015/03/c60_program_book1.pdf,,,,White,White,,,Female,,USA
"Dawood, Tara Uzra",,J.D.,2000,"International,Public Interest Law / Nonprofit Legal Services",,https://hls.harvard.edu/content/uploads/2015/03/c60_program_book1.pdf,,,,,,,,Female,,Pakistan
"Duffly, Fernande ""Nan""",,J.D.,1978,Judiciary,,https://hls.harvard.edu/content/uploads/2015/03/c60_program_book1.pdf,,,,White,White,,,Female,,USA
"Finamore, Barbara",,J.D.,1980,Public Interest Law / Nonprofit Legal Services,,https://hls.harvard.edu/content/uploads/2015/03/c60_program_book1.pdf,,,,White,White,,,Female,,China
"Goad, Amanda",,J.D.,2005,Public Interest Law / Nonprofit Legal Services,,https://hls.harvard.edu/content/uploads/2015/03/c60_program_book1.pdf,,,,White,White,,LGBT,Female,,USA
"Gorelick, Jamie",,J.D.,1975,Government,,https://hls.harvard.edu/content/uploads/2015/03/c60_program_book1.pdf,,,,White,White,,,Female,,USA
"Grinalds, Maura Barry",,J.D.,1991,"Public Interest Law / Nonprofit Legal Services,Corporate / Business",,https://hls.harvard.edu/content/uploads/2015/03/c60_program_book1.pdf,,,,White,White,,,Female,,USA
"Hassan, Yasmeen",,J.D.,1994,Public Interest Law / Nonprofit Legal Services,,https://hls.harvard.edu/content/uploads/2015/03/c60_program_book1.pdf,,,,,,,,Female,,USA
"Holtzman, Elizabeth",,J.D.,1965,Government,,https://hls.harvard.edu/content/uploads/2015/03/c60_program_book1.pdf,,,,White,White,,,Female,D,USA
"Hurwitz, Sarah",,J.D.,2004,Government,,https://hls.harvard.edu/content/uploads/2015/03/c60_program_book1.pdf,,,,White (Jewish),White,,,Female,,
"Kayyem, Juliette",,J.D.,1995,"Government,Arts / Media / Entertainment",,https://hls.harvard.edu/content/uploads/2015/03/c60_program_book1.pdf,,,,White,White,,,Female,,USA
"Koh, Lucy",,J.D.,1993,Judiciary,,https://hls.harvard.edu/content/uploads/2015/03/c60_program_book1.pdf,,,,Asian,Asian,,,Female,,USA
"Moore, Karen Nelson",,J.D.,1973,Judiciary,,https://hls.harvard.edu/content/uploads/2015/03/c60_program_book1.pdf,,,,White,White,,,Female,,USA
"Pao, Ellen",,J.D.,1994,Judiciary,,https://hls.harvard.edu/content/uploads/2015/03/c60_program_book1.pdf,,,,Asian,Asian,,,Female,,USA
"Paul, Deborah L.",,J.D.,1989,Law Firm,,https://hls.harvard.edu/content/uploads/2015/03/c60_program_book1.pdf,,,,White,White,,,Female,,USA
"Perry, Tina",,J.D.,1999,"Arts / Media / Entertainment,Corporate / Business",,https://hls.harvard.edu/content/uploads/2015/03/c60_program_book1.pdf,,,,Black,Black,,,Female,,USA
"Porter, Emily Su-lan Reber",,J.D.,2000,Corporate / Business,,https://hls.harvard.edu/content/uploads/2015/03/c60_program_book1.pdf,,,,White,White,,,Female,,USA
"Grooms, Susanne Sachsman",,J.D.,2002,Government,,https://hls.harvard.edu/content/uploads/2015/03/c60_program_book1.pdf,,,,White,White,,,Female,D,USA
"Saris, Patti",,J.D.,1976,Judiciary,,https://hls.harvard.edu/content/uploads/2015/03/c60_program_book1.pdf,,,,White,White,,,Female,,USA
"Stuart, Sarah Eaton",,J.D.,1991,Corporate / Business,,https://hls.harvard.edu/content/uploads/2015/03/c60_program_book1.pdf,,,,White,White,,,Female,,USA
"Walter, Elise",,J.D.,1974,Government,,https://hls.harvard.edu/content/uploads/2015/03/c60_program_book1.pdf,,,,White,White,,,Female,,USA
"Wang, Yan",,LL.M.,1987,Corporate / Business,,https://hls.harvard.edu/content/uploads/2015/03/c60_program_book1.pdf,,,,Asian,Asian,,,Female,,USA
"Williams, Joan C.",,J.D.,1980,Academia / Education,,https://hls.harvard.edu/content/uploads/2015/03/c60_program_book1.pdf,,,,White,White,,,Female,,USA
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
